Generation,Time,All,Acceptable,Unacceptable
177th, 10 hours 18 minutes 40 seconds,0,0,0
178th, 10 hours 19 minutes 10 seconds,0,0,0
179th, 10 hours 19 minutes 41 seconds,0,0,0
180th, 10 hours 20 minutes 13 seconds,0,0,0
181st, 10 hours 20 minutes 44 seconds,0,0,0
182nd, 10 hours 21 minutes 18 seconds,0,0,0
183rd, 10 hours 21 minutes 48 seconds,0,0,0
184th, 10 hours 22 minutes 19 seconds,0,0,0
185th, 10 hours 22 minutes 50 seconds,0,0,0
186th, 10 hours 23 minutes 23 seconds,0,0,0
187th, 10 hours 23 minutes 55 seconds,0,0,0
188th, 10 hours 24 minutes 29 seconds,0,0,0
189th, 10 hours 25 minutes 3 seconds,0,0,0
190th, 10 hours 25 minutes 38 seconds,0,0,0
191st, 10 hours 26 minutes 12 seconds,0,0,0
192nd, 10 hours 26 minutes 46 seconds,0,0,0
193rd, 10 hours 27 minutes 21 seconds,0,0,0
194th, 10 hours 27 minutes 56 seconds,0,0,0
195th, 10 hours 28 minutes 30 seconds,0,0,0
196th, 10 hours 29 minutes 4 seconds,0,0,0
197th, 10 hours 29 minutes 39 seconds,0,0,0
198th, 10 hours 30 minutes 15 seconds,0,0,0
199th, 10 hours 30 minutes 51 seconds,0,0,0
200th, 10 hours 31 minutes 28 seconds,0,0,0
201st, 10 hours 32 minutes 4 seconds,0,0,0
202nd, 10 hours 32 minutes 41 seconds,0,0,0
203rd, 10 hours 33 minutes 20 seconds,0,0,0
204th, 10 hours 33 minutes 57 seconds,0,0,0
205th, 10 hours 34 minutes 34 seconds,5,0,5
206th, 10 hours 35 minutes 12 seconds,3,0,3
207th, 10 hours 35 minutes 48 seconds,0,0,0
208th, 10 hours 36 minutes 27 seconds,0,0,0
209th, 10 hours 37 minutes 6 seconds,0,0,0
210th, 10 hours 37 minutes 41 seconds,0,0,0
211th, 10 hours 38 minutes 18 seconds,0,0,0
212th, 10 hours 38 minutes 55 seconds,0,0,0
213th, 10 hours 39 minutes 32 seconds,0,0,0
214th, 10 hours 40 minutes 9 seconds,0,0,0
215th, 10 hours 40 minutes 46 seconds,0,0,0
216th, 10 hours 41 minutes 23 seconds,0,0,0
217th, 10 hours 41 minutes 59 seconds,0,0,0
218th, 10 hours 42 minutes 38 seconds,0,0,0
219th, 10 hours 43 minutes 16 seconds,0,0,0
220th, 10 hours 43 minutes 54 seconds,0,0,0
221st, 10 hours 44 minutes 32 seconds,0,0,0
222nd, 10 hours 45 minutes 11 seconds,0,0,0
223rd, 10 hours 45 minutes 51 seconds,0,0,0
224th, 10 hours 46 minutes 30 seconds,0,0,0
225th, 10 hours 47 minutes 10 seconds,0,0,0
226th, 10 hours 47 minutes 50 seconds,0,0,0
227th, 10 hours 48 minutes 30 seconds,0,0,0
228th, 10 hours 49 minutes 11 seconds,0,0,0
229th, 10 hours 49 minutes 52 seconds,0,0,0
230th, 10 hours 50 minutes 33 seconds,0,0,0
231st, 10 hours 51 minutes 14 seconds,0,0,0
232nd, 10 hours 51 minutes 56 seconds,0,0,0
233rd, 10 hours 52 minutes 36 seconds,0,0,0
234th, 10 hours 53 minutes 18 seconds,0,0,0
235th, 10 hours 53 minutes 58 seconds,0,0,0
236th, 10 hours 54 minutes 39 seconds,0,0,0
237th, 10 hours 55 minutes 20 seconds,0,0,0
238th, 10 hours 56 minutes 3 seconds,0,0,0
239th, 10 hours 56 minutes 47 seconds,0,0,0
240th, 10 hours 57 minutes 28 seconds,0,0,0
241st, 10 hours 58 minutes 13 seconds,0,0,0
242nd, 10 hours 58 minutes 57 seconds,0,0,0
243rd, 10 hours 59 minutes 43 seconds,0,0,0
244th, 11 hours 26 seconds,0,0,0
245th, 11 hours 1 minutes 10 seconds,0,0,0
246th, 11 hours 1 minutes 57 seconds,0,0,0
247th, 11 hours 2 minutes 42 seconds,0,0,0
248th, 11 hours 3 minutes 27 seconds,0,0,0
249th, 11 hours 4 minutes 11 seconds,0,0,0
250th, 11 hours 4 minutes 53 seconds,0,0,0
251st, 11 hours 5 minutes 37 seconds,0,0,0
252nd, 11 hours 6 minutes 21 seconds,0,0,0
253rd, 11 hours 7 minutes 5 seconds,0,0,0
254th, 11 hours 7 minutes 45 seconds,0,0,0
255th, 11 hours 8 minutes 29 seconds,0,0,0
256th, 11 hours 9 minutes 11 seconds,0,0,0
257th, 11 hours 9 minutes 55 seconds,0,0,0
258th, 11 hours 10 minutes 41 seconds,0,0,0
259th, 11 hours 11 minutes 27 seconds,0,0,0
260th, 11 hours 12 minutes 11 seconds,0,0,0
261st, 11 hours 12 minutes 56 seconds,0,0,0
262nd, 11 hours 13 minutes 41 seconds,0,0,0
263rd, 11 hours 14 minutes 25 seconds,0,0,0
264th, 11 hours 15 minutes 8 seconds,0,0,0
265th, 11 hours 15 minutes 50 seconds,0,0,0
266th, 11 hours 16 minutes 34 seconds,0,0,0
267th, 11 hours 17 minutes 19 seconds,0,0,0
268th, 11 hours 18 minutes 3 seconds,0,0,0
269th, 11 hours 18 minutes 49 seconds,0,0,0
